Department,Department_Name,Division,Gender,Base_Salary,Overtime_Pay,Longevity_Pay,Grade
IT,IT - Data Analytics,Data Analytics - QA Testing,M,107193.81,0,0,21
IT,IT - Software Engineering,Software Engineering - Dev Ops,M,190346.81,0,8802.85,N15
IT,IT - IT Support,IT Support - Data Science,F,56965.24,0,1903.14,20
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Backend Dev,M,72614.64,0,0,M3
IT,IT - Cybersecurity,Cybersecurity - Dev Ops,F,167622.4,47471.24,1238.71,10
IT,IT - Cybersecurity,Cybersecurity - Data Science,M,165143.32,0,12820.15,8
IT,IT - IT Support,IT Support - Data Science,F,167375.79,0,0,17
IT,IT - Data Analytics,Data Analytics - Data Science,F,139433.23,0,9182.42,N16
IT,IT - IT Support,IT Support - Frontend Dev,M,92255.74,0,0,5
IT,IT - Data Analytics,Data Analytics - Frontend Dev,M,155519.01,7962.93,18985.73,5
IT,IT - IT Support,IT Support - Network Security,F,193661.77,45499.96,2876.74,N20
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Network Security,M,78535.41,0,0,16
IT,IT - Data Analytics,Data Analytics - Frontend Dev,F,206982.09,0,0,N32
IT,IT - Data Analytics,Data Analytics - Frontend Dev,F,179620.84,30281.7,0,N24
IT,IT - Software Engineering,Software Engineering - Network Security,M,112074.79,51572.33,12086.06,N17
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Data Science,F,171462.44,64990.73,0,16
IT,IT - Cybersecurity,Cybersecurity - Dev Ops,M,181901.19,22279.91,7961.81,N27
IT,IT - Software Engineering,Software Engineering - Frontend Dev,F,148158.93,0,5656.28,11
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Frontend Dev,M,143073.67,0,8766.55,N28
IT,IT - Data Analytics,Data Analytics - Network Security,M,170847.66,0,0,N28
IT,IT - Data Analytics,Data Analytics - Dev Ops,M,172379.24,0,0,16
IT,IT - Software Engineering,Software Engineering - Network Security,M,197673.3,72252.96,0,N15
IT,IT - IT Support,IT Support - Backend Dev,M,148666.93,72477.87,6815.7,18
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Backend Dev,F,179173.94,0,7000.66,M2
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Network Security,M,202289.24,74508.86,0,18
IT,IT - Data Analytics,Data Analytics - Network Security,M,224315.46,0,3328.23,14
IT,IT - Data Analytics,Data Analytics - Data Science,M,97841.74,56227.05,16755.57,6
IT,IT - IT Support,IT Support - Network Security,M,125249.67,0,0,M3
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Dev Ops,M,229514.28,0,14507.12,23
IT,IT - IT Support,IT Support - Data Science,F,189759.44,26755.08,0,17
IT,IT - Data Analytics,Data Analytics - Data Science,F,84429.36,9843.34,0,5
IT,IT - Cybersecurity,Cybersecurity - Network Security,F,247681.11,0,17680.02,10
IT,IT - Data Analytics,Data Analytics - Data Science,M,251160.43,71345.88,0,15
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Network Security,F,169008.11,0,0,18
IT,IT - Software Engineering,Software Engineering - Network Security,F,172864.01,0,6057.17,N24
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Data Science,M,132516.79,37364.02,12044.13,N18
IT,IT - IT Support,IT Support - Dev Ops,F,260487.03,0,0,N25
IT,IT - IT Support,IT Support - Data Science,M,186697.48,72918.71,0,22
IT,IT - Cybersecurity,Cybersecurity - Network Security,M,232758.73,70194.59,0,9
IT,IT - Software Engineering,Software Engineering - QA Testing,M,160170.39,0,15325.91,N15
IT,IT - Cybersecurity,Cybersecurity - Backend Dev,M,213185.72,0,0,5
IT,IT - IT Support,IT Support - QA Testing,F,208123.22,0,0,EX1
IT,IT - IT Support,IT Support - Network Security,M,198100.09,0,4555.59,5
IT,IT - Cybersecurity,Cybersecurity - Network Security,M,120644.39,0,0,N26
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Frontend Dev,F,164910.89,0,0,16
IT,IT - Software Engineering,Software Engineering - QA Testing,F,169892.78,0,0,EX1
IT,IT - IT Support,IT Support - Network Security,F,189605.88,11341.53,7434.27,N26
IT,IT - Data Analytics,Data Analytics - QA Testing,M,154908.04,0,10666.2,EX2
IT,IT - Cloud Infrastructure,Cloud Infrastructure - QA Testing,M,165306.79,0,0,14
IT,IT - Software Engineering,Software Engineering - Frontend Dev,M,129443.91,0,0,6
IT,IT - IT Support,IT Support - QA Testing,M,172264.6,0,0,EX1
IT,IT - Cybersecurity,Cybersecurity - QA Testing,F,180419.15,27980.55,0,7
IT,IT - Cybersecurity,Cybersecurity - Network Security,F,113979.58,3749.05,6010.24,M3
IT,IT - IT Support,IT Support - QA Testing,M,166616.88,0,0,18
IT,IT - Data Analytics,Data Analytics - Network Security,M,77947.03,0,0,N21
IT,IT - Cybersecurity,Cybersecurity - Network Security,M,132437.32,0,0,19
IT,IT - Data Analytics,Data Analytics - Data Science,M,166233.03,0,3422.13,11
IT,IT - Cybersecurity,Cybersecurity - QA Testing,M,166335.95,36069.28,0,19
IT,IT - Software Engineering,Software Engineering - Network Security,F,68541.79,0,6977.57,N15
IT,IT - Software Engineering,Software Engineering - Network Security,F,159400.59,0,0,22
IT,IT - Cloud Infrastructure,Cloud Infrastructure - QA Testing,F,169492.8,0,0,N32
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Frontend Dev,F,171133.64,0,0,N32
IT,IT - Software Engineering,Software Engineering - Dev Ops,M,98013.85,20053.64,4190.11,N21
IT,IT - Software Engineering,Software Engineering - Backend Dev,M,67443.72,0,0,10
IT,IT - Data Analytics,Data Analytics - Data Science,F,232241.09,78017.84,0,6
IT,IT - Cybersecurity,Cybersecurity - Frontend Dev,M,213238.19,77455.53,0,M1
IT,IT - Software Engineering,Software Engineering - Data Science,M,166060.14,0,0,N32
IT,IT - Cybersecurity,Cybersecurity - Data Science,M,166393.78,27260.04,1753.49,6
IT,IT - IT Support,IT Support - Frontend Dev,F,128852.64,0,0,15
IT,IT - Cybersecurity,Cybersecurity - QA Testing,M,235887.91,0,0,18
IT,IT - IT Support,IT Support - Backend Dev,M,120237.04,0,0,M3
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Network Security,F,211072.63,0,0,N27
IT,IT - IT Support,IT Support - Network Security,M,125672.41,0,0,N15
IT,IT - IT Support,IT Support - Frontend Dev,M,186439.02,0,0,N24
IT,IT - Cybersecurity,Cybersecurity - Network Security,F,167271.14,0,0,21
IT,IT - Software Engineering,Software Engineering - Frontend Dev,F,87889.63,43656.52,0,7
IT,IT - Cybersecurity,Cybersecurity - Frontend Dev,F,112851.7,0,0,N21
IT,IT - Cybersecurity,Cybersecurity - Data Science,M,109715.71,0,15214.51,8
IT,IT - Data Analytics,Data Analytics - Frontend Dev,M,221666.4,0,0,N23
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Network Security,F,175426.04,0,0,N20
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Data Science,M,192076.79,0,0,N28
IT,IT - Data Analytics,Data Analytics - Backend Dev,M,142701.23,72721.82,0,12
IT,IT - Data Analytics,Data Analytics - QA Testing,M,110072.39,0,0,N15
IT,IT - Software Engineering,Software Engineering - Data Science,M,236705.84,0,0,N32
IT,IT - Data Analytics,Data Analytics - Dev Ops,F,146681.35,6647.02,17123.06,15
IT,IT - Software Engineering,Software Engineering - QA Testing,M,259540.96,0,18713.33,19
IT,IT - IT Support,IT Support - Dev Ops,M,141206.2,0,7096.28,N15
IT,IT - Data Analytics,Data Analytics - Backend Dev,F,142793.04,0,0,21
IT,IT - Cybersecurity,Cybersecurity - Backend Dev,F,230916.34,46421.74,1170.1,N25
IT,IT - Software Engineering,Software Engineering - Network Security,M,132549.28,17408.12,0,21
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Dev Ops,M,169438.23,0,0,11
IT,IT - Software Engineering,Software Engineering - Network Security,F,196908.38,71895.32,4271.61,N20
IT,IT - Cybersecurity,Cybersecurity - Frontend Dev,M,201271.07,0,0,N18
IT,IT - Software Engineering,Software Engineering - Frontend Dev,F,169730.19,14963.29,0,7
IT,IT - Data Analytics,Data Analytics - Frontend Dev,M,180853.33,0,3588.54,11
IT,IT - IT Support,IT Support - Dev Ops,M,123289.25,53915.47,2559.16,N32
IT,IT - Cybersecurity,Cybersecurity - Backend Dev,M,169365.35,0,0,EX2
IT,IT - Cybersecurity,Cybersecurity - Data Science,F,184266,23805.24,0,11
IT,IT - Data Analytics,Data Analytics - Dev Ops,M,215242.27,70177.3,0,22
IT,IT - Data Analytics,Data Analytics - Dev Ops,M,178209.63,0,0,7
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Data Science,M,142630.01,0,17531.06,N27
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Frontend Dev,F,202016.6,45479.24,0,EX1
IT,IT - Software Engineering,Software Engineering - Frontend Dev,M,163973.01,0,0,N15
IT,IT - Software Engineering,Software Engineering - QA Testing,F,212487.12,0,0,N26
IT,IT - IT Support,IT Support - Backend Dev,F,231354.09,46333.06,11461.09,N15
IT,IT - Data Analytics,Data Analytics - Data Science,M,99248.55,21462.86,14981.88,N26
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Network Security,M,161825.24,0,0,M2
IT,IT - Cloud Infrastructure,Cloud Infrastructure - QA Testing,F,152951.24,0,0,5
IT,IT - Cybersecurity,Cybersecurity - Network Security,F,200478.61,67047.78,0,N28
IT,IT - Software Engineering,Software Engineering - Backend Dev,M,176280.66,0,19370.89,M3
IT,IT - IT Support,IT Support - Dev Ops,F,74343.56,47808.7,10317.63,N26
IT,IT - Software Engineering,Software Engineering - Frontend Dev,F,99253.52,58391.01,0,N15
IT,IT - Cybersecurity,Cybersecurity - Backend Dev,F,205578.03,0,12174.17,23
IT,IT - IT Support,IT Support - Data Science,M,232217.38,76043.87,0,16
IT,IT - Cybersecurity,Cybersecurity - Network Security,M,182933.81,0,0,N15
IT,IT - Data Analytics,Data Analytics - Dev Ops,F,123154.63,0,0,N24
IT,IT - Data Analytics,Data Analytics - Dev Ops,M,169251.23,0,2883.82,11
IT,IT - Software Engineering,Software Engineering - Backend Dev,F,101420.07,0,0,N23
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Backend Dev,F,165166.31,0,0,EX2
IT,IT - Cybersecurity,Cybersecurity - Data Science,F,160253.29,0,0,N16
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Dev Ops,F,203982.52,0,0,20
IT,IT - IT Support,IT Support - Frontend Dev,F,125203.45,69672.86,17800.72,17
IT,IT - Data Analytics,Data Analytics - Backend Dev,M,272447.23,0,0,N20
IT,IT - IT Support,IT Support - Data Science,M,172406.59,32163.85,7153.07,M1
IT,IT - IT Support,IT Support - Dev Ops,F,54612.57,0,17367.96,22
IT,IT - IT Support,IT Support - Dev Ops,F,67215.85,0,0,EX2
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Data Science,M,242828.82,0,8759.33,EX2
IT,IT - Cybersecurity,Cybersecurity - QA Testing,M,262719.04,0,8442.86,N20
IT,IT - IT Support,IT Support - Backend Dev,M,102644.2,31035.2,19433.85,10
IT,IT - IT Support,IT Support - Network Security,F,250791.21,0,0,N27
IT,IT - Data Analytics,Data Analytics - Frontend Dev,F,269941.25,0,0,17
IT,IT - IT Support,IT Support - Dev Ops,M,226134.6,0,0,7
IT,IT - Cybersecurity,Cybersecurity - Data Science,M,224574.88,0,0,13
IT,IT - Software Engineering,Software Engineering - Network Security,M,94009.41,0,5637.67,9
IT,IT - Data Analytics,Data Analytics - Frontend Dev,F,247659.51,71611.15,0,N24
IT,IT - IT Support,IT Support - Backend Dev,F,171202.23,0,0,17
IT,IT - IT Support,IT Support - Dev Ops,F,165025.22,0,3612.04,17
IT,IT - Cybersecurity,Cybersecurity - Network Security,M,236063.91,56069.76,17937.9,N23
IT,IT - Data Analytics,Data Analytics - Frontend Dev,F,141194.95,0,16678.57,18
IT,IT - IT Support,IT Support - Network Security,F,58278.93,49545.69,0,21
IT,IT - Data Analytics,Data Analytics - Data Science,F,167296.17,0,15552.37,14
IT,IT - Software Engineering,Software Engineering - Frontend Dev,M,149059,60419.06,0,M1
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Frontend Dev,F,136161.16,0,12014.75,5
IT,IT - Data Analytics,Data Analytics - Backend Dev,F,220441.71,0,0,N28
IT,IT - Cybersecurity,Cybersecurity - Backend Dev,F,198299.59,2258.82,10164.87,15
IT,IT - Data Analytics,Data Analytics - Frontend Dev,F,131922.47,0,0,17
IT,IT - Software Engineering,Software Engineering - Network Security,M,135768.19,0,0,M1
IT,IT - Cybersecurity,Cybersecurity - Backend Dev,M,243165.51,34870.62,0,20
IT,IT - IT Support,IT Support - Backend Dev,F,149778.7,78726.22,0,19
IT,IT - Data Analytics,Data Analytics - Network Security,M,74320.47,0,17596.14,20
IT,IT - Cybersecurity,Cybersecurity - Data Science,F,119998,12715.81,0,11
IT,IT - Cybersecurity,Cybersecurity - Network Security,F,135126.1,0,0,M1
IT,IT - Software Engineering,Software Engineering - QA Testing,F,174685.29,0,11544.84,M3
IT,IT - IT Support,IT Support - Network Security,F,205234.37,0,0,12
IT,IT - IT Support,IT Support - Frontend Dev,F,149104.41,0,0,N24
IT,IT - Cybersecurity,Cybersecurity - Network Security,M,217852.03,0,10003.95,EX2
IT,IT - Software Engineering,Software Engineering - Dev Ops,F,260809.4,40161.61,0,M1
IT,IT - Software Engineering,Software Engineering - Frontend Dev,F,61425.51,0,0,N25
IT,IT - Software Engineering,Software Engineering - Network Security,F,75279.05,32055.4,11725.39,19
IT,IT - Data Analytics,Data Analytics - Frontend Dev,M,184598.31,0,18226.36,13
IT,IT - Software Engineering,Software Engineering - Dev Ops,F,237700.59,0,0,M1
IT,IT - Cybersecurity,Cybersecurity - Backend Dev,F,168902.08,0,0,7
IT,IT - Software Engineering,Software Engineering - Data Science,F,155050.18,0,0,16
IT,IT - IT Support,IT Support - Dev Ops,M,176993.58,0,0,12
IT,IT - IT Support,IT Support - Network Security,M,79721.86,2158.46,0,N32
IT,IT - Software Engineering,Software Engineering - Backend Dev,M,92446.29,0,8775.53,19
IT,IT - Software Engineering,Software Engineering - Data Science,M,219689.76,0,0,M1
IT,IT - IT Support,IT Support - Data Science,F,146219.11,0,17649.02,N24
IT,IT - Software Engineering,Software Engineering - Data Science,F,192900.5,0,0,N26
IT,IT - Cloud Infrastructure,Cloud Infrastructure - QA Testing,M,132429.44,0,0,16
IT,IT - Cybersecurity,Cybersecurity - Network Security,F,179136.02,0,14658.3,N21
IT,IT - Data Analytics,Data Analytics - Data Science,F,251895.68,68423.61,0,18
IT,IT - Software Engineering,Software Engineering - Data Science,F,96287.51,0,8392.73,N27
IT,IT - IT Support,IT Support - Network Security,M,173393.45,0,5188.17,N23
IT,IT - Cybersecurity,Cybersecurity - Frontend Dev,M,155478.04,0,0,16
IT,IT - Software Engineering,Software Engineering - Dev Ops,M,127871.12,0,0,M1
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Dev Ops,M,194685.29,0,0,N18
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Backend Dev,M,75724.74,0,5071.54,N16
IT,IT - IT Support,IT Support - Dev Ops,M,123769.04,7540.17,12064.2,16
IT,IT - Data Analytics,Data Analytics - Data Science,M,160113.67,0,6891.2,N20
IT,IT - Software Engineering,Software Engineering - Backend Dev,F,142270.34,0,3124.96,20
IT,IT - Data Analytics,Data Analytics - Frontend Dev,F,185040.29,0,13803.4,N24
IT,IT - IT Support,IT Support - QA Testing,M,187873.1,0,0,14
IT,IT - Data Analytics,Data Analytics - Frontend Dev,M,211663.31,0,0,N17
IT,IT - Software Engineering,Software Engineering - QA Testing,F,185489.29,52881.39,13380.74,N16
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Frontend Dev,F,175557.62,0,0,N15
IT,IT - IT Support,IT Support - Dev Ops,M,170657.59,0,0,8
IT,IT - Cybersecurity,Cybersecurity - QA Testing,F,198982.09,0,0,15
IT,IT - Software Engineering,Software Engineering - QA Testing,F,181562.58,0,0,11
IT,IT - IT Support,IT Support - Backend Dev,F,168344.05,0,0,N27
IT,IT - Cloud Infrastructure,Cloud Infrastructure - QA Testing,F,173218.64,51584.79,0,13
IT,IT - Cybersecurity,Cybersecurity - Network Security,F,243396.75,0,0,N20
IT,IT - Data Analytics,Data Analytics - Dev Ops,F,109140.76,0,9928.56,EX1
IT,IT - Data Analytics,Data Analytics - Data Science,M,165022.08,0,0,20
IT,IT - IT Support,IT Support - Data Science,M,126994.85,0,18982.21,M3
IT,IT - Cybersecurity,Cybersecurity - Frontend Dev,F,160828.04,23147.4,16383.05,N27
IT,IT - Data Analytics,Data Analytics - Data Science,F,191468.71,33377.15,4082.95,N23
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Frontend Dev,M,165494.86,0,11720.87,N28
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Data Science,F,206808.26,0,13023.1,17
IT,IT - IT Support,IT Support - QA Testing,F,124359.01,49072.99,0,12
IT,IT - Software Engineering,Software Engineering - Frontend Dev,M,202152.46,65897.84,0,14
IT,IT - Software Engineering,Software Engineering - Frontend Dev,M,178087.37,0,0,N27
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Frontend Dev,M,122361.02,2379.27,0,N18
IT,IT - Cybersecurity,Cybersecurity - Frontend Dev,M,148893.66,0,0,6
IT,IT - Cybersecurity,Cybersecurity - Network Security,F,150661.02,0,0,15
IT,IT - Cloud Infrastructure,Cloud Infrastructure - QA Testing,M,175328.59,0,0,N28
IT,IT - IT Support,IT Support - Dev Ops,F,117786.93,0,7521.47,8
IT,IT - IT Support,IT Support - Dev Ops,F,88208.24,0,11180.9,12
IT,IT - Data Analytics,Data Analytics - Backend Dev,F,124835.9,0,1535.21,6
IT,IT - Software Engineering,Software Engineering - Backend Dev,F,156017.59,0,0,N28
IT,IT - IT Support,IT Support - Network Security,M,187481.14,43098.3,9407.89,20
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Dev Ops,F,183809.43,0,0,EX1
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Backend Dev,F,68515.48,0,0,5
IT,IT - Software Engineering,Software Engineering - QA Testing,M,95655.76,63138.21,0,20
IT,IT - Cloud Infrastructure,Cloud Infrastructure - QA Testing,F,190321.2,24598.7,7623.14,M2
IT,IT - Data Analytics,Data Analytics - Backend Dev,M,169001.64,0,9345.22,8
IT,IT - Data Analytics,Data Analytics - QA Testing,M,203179.07,0,0,16
IT,IT - Software Engineering,Software Engineering - Frontend Dev,F,209002.32,0,0,N21
IT,IT - Cybersecurity,Cybersecurity - Data Science,F,92269.27,0,14245.44,22
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Frontend Dev,F,236901.6,0,0,N25
IT,IT - Cloud Infrastructure,Cloud Infrastructure - QA Testing,M,175729.48,0,10440.25,10
IT,IT - Software Engineering,Software Engineering - Network Security,M,102984.06,0,0,19
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Network Security,F,201481.09,47746.11,0,M1
IT,IT - Data Analytics,Data Analytics - Network Security,F,215954.12,1906.18,0,EX1
IT,IT - Cybersecurity,Cybersecurity - Backend Dev,M,202194.34,0,20177.46,N23
IT,IT - Software Engineering,Software Engineering - Backend Dev,M,107672.65,24610.37,14190.26,N25
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Data Science,M,124500.64,18053.81,13469.56,N32
IT,IT - Cloud Infrastructure,Cloud Infrastructure - QA Testing,F,118307.67,0,0,18
IT,IT - IT Support,IT Support - Network Security,F,248393.71,11137.4,0,19
IT,IT - IT Support,IT Support - Frontend Dev,M,106530.01,0,739.74,M2
IT,IT - IT Support,IT Support - Frontend Dev,M,246590.57,0,11338.09,M2
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Network Security,F,104264.69,0,13390.18,N27
IT,IT - Software Engineering,Software Engineering - Network Security,F,217728.38,0,0,21
IT,IT - Software Engineering,Software Engineering - Dev Ops,M,207355.62,22709.73,0,M2
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Backend Dev,M,183015,0,0,19
IT,IT - Software Engineering,Software Engineering - Data Science,M,164683.23,59125.98,0,N32
IT,IT - IT Support,IT Support - Dev Ops,M,191495.65,6164.91,19418.64,M2
IT,IT - Data Analytics,Data Analytics - QA Testing,F,143265.87,0,0,N18
IT,IT - Cybersecurity,Cybersecurity - Backend Dev,F,97124.37,0,0,14
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Dev Ops,M,202500.74,78091.27,0,7
IT,IT - Software Engineering,Software Engineering - Data Science,F,129846.6,76806.21,0,14
IT,IT - IT Support,IT Support - Data Science,F,159444.77,39138.23,0,20
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Frontend Dev,M,79751.26,48083.26,7936.76,18
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Frontend Dev,M,112228.86,74301.24,0,M2
IT,IT - Cybersecurity,Cybersecurity - Frontend Dev,F,138546.9,0,11260.1,M2
IT,IT - IT Support,IT Support - QA Testing,M,255576.55,0,0,EX1
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Backend Dev,F,167915.46,0,0,N20
IT,IT - IT Support,IT Support - Frontend Dev,F,105310.54,0,0,N23
IT,IT - Cybersecurity,Cybersecurity - Data Science,M,151843.16,0,0,7
IT,IT - Cybersecurity,Cybersecurity - Network Security,F,220857.2,0,0,12
IT,IT - Data Analytics,Data Analytics - Frontend Dev,F,207902.9,0,0,8
IT,IT - Cybersecurity,Cybersecurity - Frontend Dev,F,120059.54,0,0,N17
IT,IT - Cybersecurity,Cybersecurity - Frontend Dev,M,146793.24,0,0,N16
IT,IT - Data Analytics,Data Analytics - QA Testing,F,196209.03,76666.84,6966.38,N23
IT,IT - Cybersecurity,Cybersecurity - Network Security,F,145846.15,0,0,EX2
IT,IT - Cybersecurity,Cybersecurity - Frontend Dev,M,183541.45,14680.62,3800.82,M1
IT,IT - Software Engineering,Software Engineering - Data Science,M,180620.49,46608.71,0,8
IT,IT - Data Analytics,Data Analytics - QA Testing,F,175187.06,26107.59,0,23
IT,IT - IT Support,IT Support - Data Science,F,257686.87,66097.89,0,N28
IT,IT - Software Engineering,Software Engineering - Dev Ops,F,146271.37,64208.67,0,N25
IT,IT - Software Engineering,Software Engineering - QA Testing,F,162048.68,55029.95,0,15
IT,IT - Software Engineering,Software Engineering - Frontend Dev,F,119857.07,0,0,7
IT,IT - IT Support,IT Support - Backend Dev,M,173056.94,0,0,23
IT,IT - Data Analytics,Data Analytics - Backend Dev,F,123916.16,0,0,M1
IT,IT - Software Engineering,Software Engineering - Network Security,F,238408.75,0,0,N27
IT,IT - Software Engineering,Software Engineering - Dev Ops,F,199534.01,49012.9,15361.45,EX2
IT,IT - Software Engineering,Software Engineering - Data Science,M,88636.03,22933.87,5384.99,N18
IT,IT - Data Analytics,Data Analytics - QA Testing,M,156438.06,0,10143.67,M1
IT,IT - Data Analytics,Data Analytics - Frontend Dev,M,107007.36,0,0,11
IT,IT - Data Analytics,Data Analytics - Backend Dev,F,104448.08,0,16874.41,18
IT,IT - Software Engineering,Software Engineering - Network Security,F,256237.58,58149.88,7190.51,N15
IT,IT - IT Support,IT Support - Data Science,M,116088.07,57740.64,0,11
IT,IT - Software Engineering,Software Engineering - Dev Ops,F,101294.36,0,0,M3
IT,IT - Software Engineering,Software Engineering - Dev Ops,F,92504.12,0,0,M2
IT,IT - IT Support,IT Support - Frontend Dev,F,215637.32,0,0,M3
IT,IT - Cloud Infrastructure,Cloud Infrastructure - QA Testing,F,144142.9,0,0,N24
IT,IT - IT Support,IT Support - Data Science,F,140488.55,0,0,M2
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Data Science,F,126201.97,0,0,N16
IT,IT - Software Engineering,Software Engineering - Frontend Dev,M,95987.94,0,8228.22,N27
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Dev Ops,M,147490.72,0,0,16
IT,IT - Data Analytics,Data Analytics - Data Science,F,198167.66,25331.75,0,19
IT,IT - Data Analytics,Data Analytics - Frontend Dev,F,188364.93,0,17454.15,7
IT,IT - Cybersecurity,Cybersecurity - Frontend Dev,M,258668.96,16560.25,18182.22,N32
IT,IT - Cloud Infrastructure,Cloud Infrastructure - QA Testing,F,250161.42,0,15131.13,20
